gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,charge_per_tenure,long_term_mth_to_mth
Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),66.93,2670.74,1,1.632439024390244,1
Female,0,No,No,8,Yes,No,DSL,Yes,Yes,No internet service,No,No,Yes,One year,Yes,Electronic check,75.42,608.3,1,8.38,0
Female,0,Yes,No,16,Yes,No,DSL,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,49.45,782.13,1,2.908823529411765,0
Female,0,No,Yes,22,Yes,No,DSL,Yes,No,No internet service,No,Yes,No,Two year,No,Electronic check,40.15,879.9,0,1.7456521739130435,0
Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,79.03,3163.86,1,1.927560975609756,1
Male,0,No,No,68,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),63.77,4340.65,0,0.9242028985507247,0
Male,0,No,No,39,No,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),70.71,2752.85,0,1.76775,0
Female,1,No,No,64,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,One year,Yes,Electronic check,84.16,5386.28,0,1.2947692307692307,0
Male,0,No,Yes,32,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,No,Electronic check,115.33,3678.98,1,3.4948484848484846,1
Female,0,No,No,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),87.78,1138.05,1,6.2700000000000005,0
Female,1,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,58.29,1396.45,1,2.3316,0
Male,0,Yes,No,43,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No,One year,Yes,Mailed check,108.36,4668.43,0,2.462727272727273,0
Female,0,No,Yes,61,Yes,Yes,DSL,No,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),72.94,4457.19,0,1.1764516129032259,0
Male,0,No,Yes,40,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),114.52,4573.31,0,2.793170731707317,0
