customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,1,Yes,No,51,Yes,No,DSL,No internet service,No,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),84.46,4303.94,No
CUST00001,Male,1,Yes,No,14,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,61.24,862.59,No
CUST00002,Female,0,Yes,Yes,71,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),41.26,2928.58,No
CUST00003,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),25.14,1506.31,Yes
CUST00004,Male,0,No,No,20,Yes,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.62,1456.15,Yes
CUST00005,Female,0,Yes,No,23,No,Yes,DSL,Yes,No,No internet service,No,No,No,Two year,Yes,Electronic check,119.01,2736.39,No
CUST00006,Male,0,Yes,No,2,Yes,No,No,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,93.28,192.71,Yes
CUST00007,Male,0,Yes,No,21,Yes,No,No,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),51.39,1077.13,Yes
CUST00008,Male,0,Yes,No,52,Yes,No phone service,No,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,102.37,5320.39,Yes
CUST00009,Female,0,Yes,No,1,Yes,No phone service,No,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,96.44,96.52,Yes
CUST00010,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,Yes,One year,No,Electronic check,46.73,1359.99,No
CUST00011,Female,0,Yes,No,37,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),19.46,721.27,No
CUST00012,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,One year,No,Bank transfer (automatic),30.05,30.57,No
CUST00013,Female,1,No,No,63,No,No,Fiber optic,No internet service,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,107.49,6767.83,Yes
CUST00014,Male,0,No,No,59,Yes,Yes,No,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),103.33,6091.7,Yes
CUST00015,Male,0,Yes,No,20,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,48.11,967.03,No
CUST00016,Female,0,Yes,No,32,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,47.09,1512.23,Yes
CUST00017,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,98.87,5640.78,Yes
CUST00018,Male,0,No,No,21,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,113.65,2390.61,No
CUST00019,Male,0,Yes,Yes,48,No,No,DSL,Yes,No,No internet service,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),97.47,4680.79,No
CUST00020,Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),79.77,4628.82,Yes
CUST00021,Female,0,No,No,41,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.75,1753.42,No
CUST00022,Male,0,No,No,59,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,71.63,4228.98,Yes
CUST00023,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,41.82,585.27,Yes
CUST00024,Female,1,Yes,No,61,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,100.42,6128.42,Yes
CUST00025,Male,1,No,No,61,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,57.47,3510.26,Yes
CUST00026,Female,0,Yes,No,46,No,Yes,No,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,103.04,4733.55,Yes
CUST00027,Male,0,Yes,No,61,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,56.92,3477.6,No
CUST00028,Female,0,Yes,Yes,50,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),102.06,5102.71,Yes
CUST00029,Male,0,No,No,54,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),52.0,2815.29,No
CUST00030,Male,0,Yes,No,63,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.89,3968.42,No
CUST00031,Female,0,Yes,Yes,2,Yes,Yes,DSL,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,80.78,156.41,Yes
CUST00032,Female,1,No,Yes,50,Yes,No,No,No,No internet service,No,No,No internet service,No,Month-to-month,No,Electronic check,25.17,1258.5,Yes
